,Name Text,Meeting Date Text, Text,Meeting Time Text,Meeting Location Text,Meeting Details Text,Presentations Text,Agenda Text,Agenda Packet Text,Minutes Text,Written Communications Text,YouTube Transcription Text,Video Text,Audio Text,Name URL,Meeting Date URL, URL,Meeting Time URL,Meeting Location URL,Meeting Details URL,Presentations URL,Agenda URL,Agenda Packet URL,Minutes URL,Written Communications URL,YouTube Transcription URL,Video URL,Audio URL
28,Bicycle Pedestrian Commission,1/21/2015,,7:00 PM,"10300 Torre Ave., Conf. Room A",Meeting details,Not available,Agenda,Not available,Minutes,Not available,Not available,Not available,Not available,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=22794&GUID=DA4EFDBB-359F-4536-B6AE-E3BED44110B2,,https://cupertino.legistar.com/View.ashx?M=IC&ID=373180&GUID=1A8A10FE-C8C9-444B-A1B4-8001E5CB15D3,,,https://cupertino.legistar.com/MeetingDetail.aspx?ID=373180&GUID=1A8A10FE-C8C9-444B-A1B4-8001E5CB15D3&Options=info&Search=,,https://cupertino.legistar.com/View.ashx?M=A&ID=373180&GUID=1A8A10FE-C8C9-444B-A1B4-8001E5CB15D3,,https://cupertino.legistar.com/View.ashx?M=M&ID=373180&GUID=1A8A10FE-C8C9-444B-A1B4-8001E5CB15D3,,,,
29,City Council,1/21/2015,,6:45 PM,"10350 Torre Avenue, Council ChamberCancelled",Meeting details,Not available,Cancellation Notice,Not available,Not available,Not available,Not available,Not available,Not available,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=22534&GUID=759DE527-B7CF-4B4C-88AB-B83875AB732D,,https://cupertino.legistar.com/View.ashx?M=IC&ID=395744&GUID=1DE92791-019F-400F-9CB8-5003C7687CA7,,,https://cupertino.legistar.com/MeetingDetail.aspx?ID=395744&GUID=1DE92791-019F-400F-9CB8-5003C7687CA7&Options=info&Search=,,https://cupertino.legistar.com/View.ashx?M=A&ID=395744&GUID=1DE92791-019F-400F-9CB8-5003C7687CA7,,,,,,
30,City Council,1/20/2015,,6:45 PM,"10350 Torre Avenue, Council Chamber",Meeting details,Not available,Agenda,Not available,Minutes,Not available,Not available,Video,AudioDownload,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=22534&GUID=759DE527-B7CF-4B4C-88AB-B83875AB732D,,https://cupertino.legistar.com/View.ashx?M=IC&ID=395741&GUID=5597AFD2-1503-44F2-856A-049E18E4BA9F,,,https://cupertino.legistar.com/MeetingDetail.aspx?ID=395741&GUID=5597AFD2-1503-44F2-856A-049E18E4BA9F&Options=info&Search=,,https://cupertino.legistar.com/View.ashx?M=A&ID=395741&GUID=5597AFD2-1503-44F2-856A-049E18E4BA9F,,https://cupertino.legistar.com/View.ashx?M=M&ID=395741&GUID=5597AFD2-1503-44F2-856A-049E18E4BA9F,,,https://cupertino.legistar.com/#,https://cupertino.legistar.com/#
31,Design Review Committee,1/15/2015,,5:00 PM,Conference Room CCancelled,Meeting details,Not available,Cancellation notice,Not available,Not available,Not available,Not available,Not available,Not available,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=23085&GUID=2B447559-086A-4000-9EEA-4BD3D28DF058,,https://cupertino.legistar.com/View.ashx?M=IC&ID=359125&GUID=A0ABF410-A683-47CA-8CCD-A2D30B43C1E6,,,https://cupertino.legistar.com/MeetingDetail.aspx?ID=359125&GUID=A0ABF410-A683-47CA-8CCD-A2D30B43C1E6&Options=info&Search=,,https://cupertino.legistar.com/View.ashx?M=A&ID=359125&GUID=A0ABF410-A683-47CA-8CCD-A2D30B43C1E6,,,,,,
32,Environmental Review Committee,1/15/2015,,9:30 AM,Conference Room CCancelled,Meeting details,Not available,Cancellation notice,Not available,Not available,Not available,Not available,Not available,Not available,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=23086&GUID=E2468B1F-ED78-49B3-B707-3A87188587B6,,https://cupertino.legistar.com/View.ashx?M=IC&ID=359126&GUID=0CBDA957-CDA7-43F1-A3FA-C62C4A04B03D,,,https://cupertino.legistar.com/MeetingDetail.aspx?ID=359126&GUID=0CBDA957-CDA7-43F1-A3FA-C62C4A04B03D&Options=info&Search=,,https://cupertino.legistar.com/View.ashx?M=A&ID=359126&GUID=0CBDA957-CDA7-43F1-A3FA-C62C4A04B03D,,,,,,
33,Teen Commission,1/14/2015,,6:30 PM,Quinlan Community Center,Meeting details,Not available,Agenda,Not available,Minutes,Not available,Not available,Not available,Not available,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=23092&GUID=E565B595-5FED-4380-9467-E8B37961AFC2,,https://cupertino.legistar.com/View.ashx?M=IC&ID=366718&GUID=5CFB60CD-2E1D-4152-8E35-6F1E3D886026,,,https://cupertino.legistar.com/MeetingDetail.aspx?ID=366718&GUID=5CFB60CD-2E1D-4152-8E35-6F1E3D886026&Options=info&Search=,,https://cupertino.legistar.com/View.ashx?M=A&ID=366718&GUID=5CFB60CD-2E1D-4152-8E35-6F1E3D886026,,https://cupertino.legistar.com/View.ashx?M=M&ID=366718&GUID=5CFB60CD-2E1D-4152-8E35-6F1E3D886026,,,,
34,Planning Commission,1/13/2015,,6:45 PM,"10350 Torre Avenue, Council ChamberCancelled",Meeting details,Not available,Cancellation notice,Not available,Not available,Not available,Not available,Not available,Not available,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=22538&GUID=D3B7D79F-7049-469E-8B05-0E51C580B6E5,,https://cupertino.legistar.com/View.ashx?M=IC&ID=359117&GUID=259BB81D-A401-412E-9E9F-60B6415944BA,,,https://cupertino.legistar.com/MeetingDetail.aspx?ID=359117&GUID=259BB81D-A401-412E-9E9F-60B6415944BA&Options=info&Search=,,https://cupertino.legistar.com/View.ashx?M=A&ID=359117&GUID=259BB81D-A401-412E-9E9F-60B6415944BA,,,,,,
35,Parks and Recreation Commission,1/8/2015,,7:00 PM,Community Hall,Meeting details,Not available,Agenda,Not available,Minutes,Not available,Not available,Video,AudioDownload,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=23090&GUID=2EF4EA37-633F-439B-B4C7-FD12541BFAEF,,https://cupertino.legistar.com/View.ashx?M=IC&ID=368190&GUID=58350FB6-4598-4619-8E7E-A9A8D49FFF21,,,https://cupertino.legistar.com/MeetingDetail.aspx?ID=368190&GUID=58350FB6-4598-4619-8E7E-A9A8D49FFF21&Options=info&Search=,,https://cupertino.legistar.com/View.ashx?M=A&ID=368190&GUID=58350FB6-4598-4619-8E7E-A9A8D49FFF21,,https://cupertino.legistar.com/View.ashx?M=M&ID=368190&GUID=58350FB6-4598-4619-8E7E-A9A8D49FFF21,,,https://cupertino.legistar.com/#,https://cupertino.legistar.com/#
36,Public Safety Commission,1/8/2015,,7:00 PM,"10300 Torre Ave., Conf. Room ASpecial Meeting",Meeting details,Not available,Special Meeting Agenda,Not available,Minutes,Not available,Not available,Not available,Not available,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=23091&GUID=54D4C363-B8EB-443D-BCEE-5E4FD02C8C11,,https://cupertino.legistar.com/View.ashx?M=IC&ID=372593&GUID=92373F1C-7212-4FD4-A93F-BCF782FFCABB,,,https://cupertino.legistar.com/MeetingDetail.aspx?ID=372593&GUID=92373F1C-7212-4FD4-A93F-BCF782FFCABB&Options=info&Search=,,https://cupertino.legistar.com/View.ashx?M=A&ID=372593&GUID=92373F1C-7212-4FD4-A93F-BCF782FFCABB,,https://cupertino.legistar.com/View.ashx?M=M&ID=372593&GUID=92373F1C-7212-4FD4-A93F-BCF782FFCABB,,,,
37,Administrative Hearing,1/8/2015,,5:00 PM,Conference Room CCancelled,Meeting details,Not available,Cancellation notice,Not available,Not available,Not available,Not available,Not available,Not available,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=22535&GUID=583BF1FB-644B-4CB1-9972-D71D2380C28E,,https://cupertino.legistar.com/View.ashx?M=IC&ID=359118&GUID=839390DF-3DF0-4A75-A27B-162F374731E8,,,https://cupertino.legistar.com/MeetingDetail.aspx?ID=359118&GUID=839390DF-3DF0-4A75-A27B-162F374731E8&Options=info&Search=,,https://cupertino.legistar.com/View.ashx?M=A&ID=359118&GUID=839390DF-3DF0-4A75-A27B-162F374731E8,,,,,,
38,Environmental Review Committee,1/8/2015,,9:30 AM,"Room 100, EOCSpecial meeting",Meeting details,Not available,Agenda,Not available,Approved Minutes,Not available,Not available,Not available,Not available,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=23086&GUID=E2468B1F-ED78-49B3-B707-3A87188587B6,,https://cupertino.legistar.com/View.ashx?M=IC&ID=368308&GUID=C8E8A3BC-9FA0-4B39-BBC2-B273B10FA3EB,,,https://cupertino.legistar.com/MeetingDetail.aspx?ID=368308&GUID=C8E8A3BC-9FA0-4B39-BBC2-B273B10FA3EB&Options=info&Search=,,https://cupertino.legistar.com/View.ashx?M=A&ID=368308&GUID=C8E8A3BC-9FA0-4B39-BBC2-B273B10FA3EB,,https://cupertino.legistar.com/View.ashx?M=M&ID=368308&GUID=C8E8A3BC-9FA0-4B39-BBC2-B273B10FA3EB,,,,
39,Housing Commission,1/8/2015,,9:00 AM,Conference Room CCancelled,Meeting details,Not available,Cancellation Notice,Not available,Not available,Not available,Not available,Not available,Not available,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=23088&GUID=E3F97C7E-3705-41B8-907A-ABEDC50EDFF1,,https://cupertino.legistar.com/View.ashx?M=IC&ID=366106&GUID=B8B09FEC-1F2D-4DBA-8F7E-DCFF4D5D4486,,,https://cupertino.legistar.com/MeetingDetail.aspx?ID=366106&GUID=B8B09FEC-1F2D-4DBA-8F7E-DCFF4D5D4486&Options=info&Search=,,https://cupertino.legistar.com/View.ashx?M=A&ID=366106&GUID=B8B09FEC-1F2D-4DBA-8F7E-DCFF4D5D4486,,,,,,
40,Library Commission,1/7/2015,,7:00 PM,"City Hall, Conference Room C",Meeting details,Not available,Agenda,Not available,Minutes,Not available,Not available,Not available,Not available,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=23089&GUID=82144D6A-94F6-4207-B502-D8C42E4E1C41,,https://cupertino.legistar.com/View.ashx?M=IC&ID=369758&GUID=41563F4F-9C0B-4C29-A064-CE2139074AEA,,,https://cupertino.legistar.com/MeetingDetail.aspx?ID=369758&GUID=41563F4F-9C0B-4C29-A064-CE2139074AEA&Options=info&Search=,,https://cupertino.legistar.com/View.ashx?M=A&ID=369758&GUID=41563F4F-9C0B-4C29-A064-CE2139074AEA,,https://cupertino.legistar.com/View.ashx?M=M&ID=369758&GUID=41563F4F-9C0B-4C29-A064-CE2139074AEA,,,,
41,TICC,1/7/2015,,7:00 PM,City Hall Conference Room A,Meeting details,Not available,Special Meeting Agenda,Not available,Minutes,Not available,Not available,Not available,Not available,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=23093&GUID=1A328291-57A3-49C3-BAC7-23F4880CAE43,,https://cupertino.legistar.com/View.ashx?M=IC&ID=372536&GUID=AECA2D89-6A61-4861-B25B-A29159241F99,,,https://cupertino.legistar.com/MeetingDetail.aspx?ID=372536&GUID=AECA2D89-6A61-4861-B25B-A29159241F99&Options=info&Search=,,https://cupertino.legistar.com/View.ashx?M=A&ID=372536&GUID=AECA2D89-6A61-4861-B25B-A29159241F99,,https://cupertino.legistar.com/View.ashx?M=M&ID=372536&GUID=AECA2D89-6A61-4861-B25B-A29159241F99,,,,
42,City Council,1/6/2015,,6:45 PM,"10350 Torre Avenue, Council ChamberCancelled",Meeting details,Not available,Cancellation Notice,Not available,Not available,Not available,Not available,Not available,Not available,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=22534&GUID=759DE527-B7CF-4B4C-88AB-B83875AB732D,,https://cupertino.legistar.com/View.ashx?M=IC&ID=395506&GUID=DF04A9DA-D18C-4D6C-9603-69D7BB1DDF8D,,,https://cupertino.legistar.com/MeetingDetail.aspx?ID=395506&GUID=DF04A9DA-D18C-4D6C-9603-69D7BB1DDF8D&Options=info&Search=,,https://cupertino.legistar.com/View.ashx?M=A&ID=395506&GUID=DF04A9DA-D18C-4D6C-9603-69D7BB1DDF8D,,,,,,
43,Design Review Committee,1/1/2015,,5:00 PM,Conference Room CCancelled,Meeting details,Not available,Cancellation Notice,Not available,Not available,Not available,Not available,Not available,Not available,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=23085&GUID=2B447559-086A-4000-9EEA-4BD3D28DF058,,https://cupertino.legistar.com/View.ashx?M=IC&ID=359115&GUID=C30D6AF4-31F4-4FC4-82BC-7D638702BB8D,,,https://cupertino.legistar.com/MeetingDetail.aspx?ID=359115&GUID=C30D6AF4-31F4-4FC4-82BC-7D638702BB8D&Options=info&Search=,,https://cupertino.legistar.com/View.ashx?M=A&ID=359115&GUID=C30D6AF4-31F4-4FC4-82BC-7D638702BB8D,,,,,,
44,Environmental Review Committee,1/1/2015,,9:30 AM,Conference Room CCancelled,Meeting details,Not available,Cancellation Notice,Not available,Not available,Not available,Not available,Not available,Not available,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=23086&GUID=E2468B1F-ED78-49B3-B707-3A87188587B6,,https://cupertino.legistar.com/View.ashx?M=IC&ID=359116&GUID=439A4E43-1D2C-4BAB-8049-FF0868638F85,,,https://cupertino.legistar.com/MeetingDetail.aspx?ID=359116&GUID=439A4E43-1D2C-4BAB-8049-FF0868638F85&Options=info&Search=,,https://cupertino.legistar.com/View.ashx?M=A&ID=359116&GUID=439A4E43-1D2C-4BAB-8049-FF0868638F85,,,,,,
45,Administrative Hearing,12/25/2014,,5:00 PM,Conference Room CCancelled,Meeting details,Not available,Cancellation Notice,Not available,Not available,Not available,Not available,Not available,Not available,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=22535&GUID=583BF1FB-644B-4CB1-9972-D71D2380C28E,,https://cupertino.legistar.com/View.ashx?M=IC&ID=359114&GUID=A54210EE-2EEC-4B0D-8C83-ED176A8AD3D1,,,https://cupertino.legistar.com/MeetingDetail.aspx?ID=359114&GUID=A54210EE-2EEC-4B0D-8C83-ED176A8AD3D1&Options=info&Search=,,https://cupertino.legistar.com/View.ashx?M=A&ID=359114&GUID=A54210EE-2EEC-4B0D-8C83-ED176A8AD3D1,,,,,,
46,Planning Commission,12/23/2014,,6:45 PM,"10350 Torre Avenue, Council ChamberCancelled",Meeting details,Not available,Cancellation Notice,Not available,Not available,Not available,Not available,Not available,Not available,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=22538&GUID=D3B7D79F-7049-469E-8B05-0E51C580B6E5,,https://cupertino.legistar.com/View.ashx?M=IC&ID=299276&GUID=E1E94BDD-A7A3-4147-B5D5-8C5A0FA1DD2F,,,https://cupertino.legistar.com/MeetingDetail.aspx?ID=299276&GUID=E1E94BDD-A7A3-4147-B5D5-8C5A0FA1DD2F&Options=info&Search=,,https://cupertino.legistar.com/View.ashx?M=A&ID=299276&GUID=E1E94BDD-A7A3-4147-B5D5-8C5A0FA1DD2F,,,,,,
47,Design Review Committee,12/18/2014,,5:00 PM,Conference Room C,Meeting details,Not available,Agenda,Not available,Not available,Not available,Not available,Not available,Not available,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=23085&GUID=2B447559-086A-4000-9EEA-4BD3D28DF058,,https://cupertino.legistar.com/View.ashx?M=IC&ID=359112&GUID=AAEE2320-BADD-4BAA-9BF7-D50DB6A860B1,,,https://cupertino.legistar.com/MeetingDetail.aspx?ID=359112&GUID=AAEE2320-BADD-4BAA-9BF7-D50DB6A860B1&Options=info&Search=,,https://cupertino.legistar.com/View.ashx?M=A&ID=359112&GUID=AAEE2320-BADD-4BAA-9BF7-D50DB6A860B1,,,,,,
48,Environmental Review Committee,12/18/2014,,9:30 AM,Conference Room CCancelled,Meeting details,Not available,Cancellation notice,Not available,Not available,Not available,Not available,Not available,Not available,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=23086&GUID=E2468B1F-ED78-49B3-B707-3A87188587B6,,https://cupertino.legistar.com/View.ashx?M=IC&ID=359113&GUID=FE555D5C-6E35-4F83-A090-1304631C4A9C,,,https://cupertino.legistar.com/MeetingDetail.aspx?ID=359113&GUID=FE555D5C-6E35-4F83-A090-1304631C4A9C&Options=info&Search=,,https://cupertino.legistar.com/View.ashx?M=A&ID=359113&GUID=FE555D5C-6E35-4F83-A090-1304631C4A9C,,,,,,
49,Bicycle Pedestrian Commission,12/17/2014,,7:00 PM,"10300 Torre Ave., Conf. Room ACancelled",Meeting details,Not available,Cancellation Notice,Not available,Not available,Not available,Not available,Not available,Not available,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=22794&GUID=DA4EFDBB-359F-4536-B6AE-E3BED44110B2,,https://cupertino.legistar.com/View.ashx?M=IC&ID=323190&GUID=1639529B-28CA-4E86-B241-06A0F1122634,,,https://cupertino.legistar.com/MeetingDetail.aspx?ID=323190&GUID=1639529B-28CA-4E86-B241-06A0F1122634&Options=info&Search=,,https://cupertino.legistar.com/View.ashx?M=A&ID=323190&GUID=1639529B-28CA-4E86-B241-06A0F1122634,,,,,,
50,City Council,12/17/2014,,6:45 PM,"10350 Torre Avenue, Council Chamber",Meeting details,Not available,Agenda,Not available,Minutes,Not available,Not available,Video,AudioDownload,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=22534&GUID=759DE527-B7CF-4B4C-88AB-B83875AB732D,,https://cupertino.legistar.com/View.ashx?M=IC&ID=395739&GUID=BAC48B36-B344-4723-A2FE-D12D8C55F6E5,,,https://cupertino.legistar.com/MeetingDetail.aspx?ID=395739&GUID=BAC48B36-B344-4723-A2FE-D12D8C55F6E5&Options=info&Search=,,https://cupertino.legistar.com/View.ashx?M=A&ID=395739&GUID=BAC48B36-B344-4723-A2FE-D12D8C55F6E5,,https://cupertino.legistar.com/View.ashx?M=M&ID=395739&GUID=BAC48B36-B344-4723-A2FE-D12D8C55F6E5,,,https://cupertino.legistar.com/#,https://cupertino.legistar.com/#
51,Library Commission,12/17/2014,,,,Meeting details,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=23089&GUID=82144D6A-94F6-4207-B502-D8C42E4E1C41,,https://cupertino.legistar.com/View.ashx?M=IC&ID=367713&GUID=107B1B13-D55B-42AB-BB36-82F3E837BF45,,,,,,,,,,,
52,City Council,12/16/2014,,3:00 PM,"10350 Torre Avenue, Council ChamberAMENDED",Meeting details,Not available,Agenda,Not available,Minutes,Not available,Not available,Video,AudioDownload,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=22534&GUID=759DE527-B7CF-4B4C-88AB-B83875AB732D,,https://cupertino.legistar.com/View.ashx?M=IC&ID=395493&GUID=EC28A385-6D1F-4EE3-BFE7-57986DEF1003,,,https://cupertino.legistar.com/MeetingDetail.aspx?ID=395493&GUID=EC28A385-6D1F-4EE3-BFE7-57986DEF1003&Options=info&Search=,,https://cupertino.legistar.com/View.ashx?M=A&ID=395493&GUID=EC28A385-6D1F-4EE3-BFE7-57986DEF1003,,https://cupertino.legistar.com/View.ashx?M=M&ID=395493&GUID=EC28A385-6D1F-4EE3-BFE7-57986DEF1003,,,https://cupertino.legistar.com/#,https://cupertino.legistar.com/#
53,Public Safety Commission,12/11/2014,,6:00 PM,"10300 Torre Ave., Conf. Room A",Meeting details,Not available,Agenda,Not available,Minutes,Not available,Not available,Not available,Not available,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=23091&GUID=54D4C363-B8EB-443D-BCEE-5E4FD02C8C11,,https://cupertino.legistar.com/View.ashx?M=IC&ID=323199&GUID=C3009859-7F40-4369-A58B-0B29386846F8,,,https://cupertino.legistar.com/MeetingDetail.aspx?ID=323199&GUID=C3009859-7F40-4369-A58B-0B29386846F8&Options=info&Search=,,https://cupertino.legistar.com/View.ashx?M=A&ID=323199&GUID=C3009859-7F40-4369-A58B-0B29386846F8,,https://cupertino.legistar.com/View.ashx?M=M&ID=323199&GUID=C3009859-7F40-4369-A58B-0B29386846F8,,,,
54,Administrative Hearing,12/11/2014,,5:00 PM,Conference Room CCancelled,Meeting details,Not available,Cancellation notice,Not available,Not available,Not available,Not available,Not available,Not available,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=22535&GUID=583BF1FB-644B-4CB1-9972-D71D2380C28E,,https://cupertino.legistar.com/View.ashx?M=IC&ID=359111&GUID=70DF49D8-FE0F-44CE-9BBA-58548E04A9DC,,,https://cupertino.legistar.com/MeetingDetail.aspx?ID=359111&GUID=70DF49D8-FE0F-44CE-9BBA-58548E04A9DC&Options=info&Search=,,https://cupertino.legistar.com/View.ashx?M=A&ID=359111&GUID=70DF49D8-FE0F-44CE-9BBA-58548E04A9DC,,,,,,
55,Housing Commission,12/11/2014,,9:00 AM,Conference Room C,Meeting details,Not available,Cancellation Notice,Not available,Not available,Not available,Not available,Not available,Not available,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=23088&GUID=E3F97C7E-3705-41B8-907A-ABEDC50EDFF1,,https://cupertino.legistar.com/View.ashx?M=IC&ID=346646&GUID=18251FA9-E712-48C4-A80B-DE68669B6C4A,,,https://cupertino.legistar.com/MeetingDetail.aspx?ID=346646&GUID=18251FA9-E712-48C4-A80B-DE68669B6C4A&Options=info&Search=,,https://cupertino.legistar.com/View.ashx?M=A&ID=346646&GUID=18251FA9-E712-48C4-A80B-DE68669B6C4A,,,,,,
56,Teen Commission,12/10/2014,,6:30 PM,Quinlan Community Center,Meeting details,Not available,Agenda,Not available,Minutes,Not available,Not available,Not available,Not available,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=23092&GUID=E565B595-5FED-4380-9467-E8B37961AFC2,,https://cupertino.legistar.com/View.ashx?M=IC&ID=361635&GUID=6A4EDF67-1338-429F-86BE-8D59F2EB9745,,,https://cupertino.legistar.com/MeetingDetail.aspx?ID=361635&GUID=6A4EDF67-1338-429F-86BE-8D59F2EB9745&Options=info&Search=,,https://cupertino.legistar.com/View.ashx?M=A&ID=361635&GUID=6A4EDF67-1338-429F-86BE-8D59F2EB9745,,https://cupertino.legistar.com/View.ashx?M=M&ID=361635&GUID=6A4EDF67-1338-429F-86BE-8D59F2EB9745,,,,
57,Planning Commission,12/9/2014,,6:45 PM,"10350 Torre Avenue, Council Chamber",Meeting details,Not available,Agenda,Not available,Minutes,Not available,Not available,Video,AudioDownload,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=22538&GUID=D3B7D79F-7049-469E-8B05-0E51C580B6E5,,https://cupertino.legistar.com/View.ashx?M=IC&ID=299275&GUID=E4F2D9BE-1DB1-4EE2-B4C6-B0AAB06257A2,,,https://cupertino.legistar.com/MeetingDetail.aspx?ID=299275&GUID=E4F2D9BE-1DB1-4EE2-B4C6-B0AAB06257A2&Options=info&Search=,,https://cupertino.legistar.com/View.ashx?M=A&ID=299275&GUID=E4F2D9BE-1DB1-4EE2-B4C6-B0AAB06257A2,,https://cupertino.legistar.com/View.ashx?M=M&ID=299275&GUID=E4F2D9BE-1DB1-4EE2-B4C6-B0AAB06257A2,,,https://cupertino.legistar.com/#,https://cupertino.legistar.com/#
58,Bicycle Pedestrian Commission,12/8/2014,,7:00 PM,"10300 Torre Ave., Conf. Room ASpecial Meeting",Meeting details,Not available,Agenda,Not available,Minutes,Not available,Not available,Not available,Not available,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=22794&GUID=DA4EFDBB-359F-4536-B6AE-E3BED44110B2,,https://cupertino.legistar.com/View.ashx?M=IC&ID=365602&GUID=3C775BA9-7BF8-4E4A-80D0-177FA4236A7C,,,https://cupertino.legistar.com/MeetingDetail.aspx?ID=365602&GUID=3C775BA9-7BF8-4E4A-80D0-177FA4236A7C&Options=info&Search=,,https://cupertino.legistar.com/View.ashx?M=A&ID=365602&GUID=3C775BA9-7BF8-4E4A-80D0-177FA4236A7C,,https://cupertino.legistar.com/View.ashx?M=M&ID=365602&GUID=3C775BA9-7BF8-4E4A-80D0-177FA4236A7C,,,,
59,Parks and Recreation Commission,12/4/2014,,7:00 PM,Community Hall,Meeting details,Not available,Agenda,Not available,Minutes,Not available,Not available,Video,AudioDownload,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=23090&GUID=2EF4EA37-633F-439B-B4C7-FD12541BFAEF,,https://cupertino.legistar.com/View.ashx?M=IC&ID=299286&GUID=7BB71C8D-B957-4A7A-8C25-6D08829D0C28,,,https://cupertino.legistar.com/MeetingDetail.aspx?ID=299286&GUID=7BB71C8D-B957-4A7A-8C25-6D08829D0C28&Options=info&Search=,,https://cupertino.legistar.com/View.ashx?M=A&ID=299286&GUID=7BB71C8D-B957-4A7A-8C25-6D08829D0C28,,https://cupertino.legistar.com/View.ashx?M=M&ID=299286&GUID=7BB71C8D-B957-4A7A-8C25-6D08829D0C28,,,https://cupertino.legistar.com/#,https://cupertino.legistar.com/#
60,Design Review Committee,12/4/2014,,5:00 PM,Conference Room CCancelled,Meeting details,Not available,Cancellation notice,Not available,Not available,Not available,Not available,Not available,Not available,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=23085&GUID=2B447559-086A-4000-9EEA-4BD3D28DF058,,https://cupertino.legistar.com/View.ashx?M=IC&ID=359103&GUID=4895037C-D4EE-444D-9998-400BDDC70BE4,,,https://cupertino.legistar.com/MeetingDetail.aspx?ID=359103&GUID=4895037C-D4EE-444D-9998-400BDDC70BE4&Options=info&Search=,,https://cupertino.legistar.com/View.ashx?M=A&ID=359103&GUID=4895037C-D4EE-444D-9998-400BDDC70BE4,,,,,,
61,Environmental Review Committee,12/4/2014,,9:30 AM,Conference Room CCancelled,Meeting details,Not available,Cancellation notice,Not available,Not available,Not available,Not available,Not available,Not available,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=23086&GUID=E2468B1F-ED78-49B3-B707-3A87188587B6,,https://cupertino.legistar.com/View.ashx?M=IC&ID=359102&GUID=4E97CFEA-5E10-428B-98D6-9E1B24B9262E,,,https://cupertino.legistar.com/MeetingDetail.aspx?ID=359102&GUID=4E97CFEA-5E10-428B-98D6-9E1B24B9262E&Options=info&Search=,,https://cupertino.legistar.com/View.ashx?M=A&ID=359102&GUID=4E97CFEA-5E10-428B-98D6-9E1B24B9262E,,,,,,
62,Library Commission,12/3/2014,,7:00 PM,Conference Room C,Meeting details,Not available,Not available,Not available,Cancellation Notice,Not available,Not available,Not available,Not available,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=23089&GUID=82144D6A-94F6-4207-B502-D8C42E4E1C41,,https://cupertino.legistar.com/View.ashx?M=IC&ID=367715&GUID=3B05C92C-B048-4252-9810-C3DF20A84629,,,https://cupertino.legistar.com/MeetingDetail.aspx?ID=367715&GUID=3B05C92C-B048-4252-9810-C3DF20A84629&Options=info&Search=,,,,https://cupertino.legistar.com/View.ashx?M=M&ID=367715&GUID=3B05C92C-B048-4252-9810-C3DF20A84629,,,,
63,TICC,12/3/2014,,7:00 PM,"10300 Torre Avenue, City Hall Conference Room A",Meeting details,Not available,Agenda,Not available,Minutes,Not available,Not available,Not available,Not available,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=23093&GUID=1A328291-57A3-49C3-BAC7-23F4880CAE43,,https://cupertino.legistar.com/View.ashx?M=IC&ID=396310&GUID=CB048DDE-7C78-4B24-A944-5AFE33468916,,,https://cupertino.legistar.com/MeetingDetail.aspx?ID=396310&GUID=CB048DDE-7C78-4B24-A944-5AFE33468916&Options=info&Search=,,https://cupertino.legistar.com/View.ashx?M=A&ID=396310&GUID=CB048DDE-7C78-4B24-A944-5AFE33468916,,https://cupertino.legistar.com/View.ashx?M=M&ID=396310&GUID=CB048DDE-7C78-4B24-A944-5AFE33468916,,,,
