,Name Text,Meeting Date Text, Text,Meeting Time Text,Meeting Location Text,Meeting Details Text,Agenda Text,Minutes Text,Video Text,Name URL,Meeting Date URL, URL,Meeting Time URL,Meeting Location URL,Meeting Details URL,Agenda URL,Minutes URL,Video URL
12,Parks and Recreation Commission,8/27/2018,,5:30 PM,"Council Chamber - City Hall, 425 N. El Dorado Street, Stockton CA",Meeting details,Meeting Agenda Packet,Not available,Not available,https://stockton.legistar.com/DepartmentDetail.aspx?ID=23044&GUID=6C64FE09-2DD0-4B03-97BE-9C63532B420F,,https://stockton.legistar.com/View.ashx?M=IC&ID=628303&GUID=1C60898A-32AD-4927-8BCC-3E1F0B125041,,,https://stockton.legistar.com/MeetingDetail.aspx?ID=628303&GUID=1C60898A-32AD-4927-8BCC-3E1F0B125041&Options=info&Search=,https://stockton.legistar.com/View.ashx?M=A&ID=628303&GUID=1C60898A-32AD-4927-8BCC-3E1F0B125041,,
13,Mayor's Task Force on Affordable and Workforce Housing,8/27/2018,,3:00 PM,"EDD Conference Room - City Hall, 425 N. El Dorado Street, Stockton CA",Meeting details,Meeting Agenda,Not available,Not available,https://stockton.legistar.com/DepartmentDetail.aspx?ID=37349&GUID=A7EC6A91-2EC5-4225-816F-B3676AA70432,,https://stockton.legistar.com/View.ashx?M=IC&ID=630804&GUID=708C508C-47A6-4E68-BC46-26233A9E3AA8,,,https://stockton.legistar.com/MeetingDetail.aspx?ID=630804&GUID=708C508C-47A6-4E68-BC46-26233A9E3AA8&Options=info&Search=,https://stockton.legistar.com/View.ashx?M=A&ID=630804&GUID=708C508C-47A6-4E68-BC46-26233A9E3AA8,,
14,Planning Commission,8/23/2018,,5:30 PM,"Council Chamber, City Hall, 425 N. El Dorado Street, Stockton CA",Meeting details,Agenda,Not available,Not available,https://stockton.legistar.com/DepartmentDetail.aspx?ID=22178&GUID=3798BB13-BAB3-44E6-BC29-0345411F84DC,,https://stockton.legistar.com/View.ashx?M=IC&ID=575468&GUID=CAA5E0C6-1345-4502-A018-A75215B63C84,,,https://stockton.legistar.com/MeetingDetail.aspx?ID=575468&GUID=CAA5E0C6-1345-4502-A018-A75215B63C84&Options=info&Search=,https://stockton.legistar.com/View.ashx?M=A&ID=575468&GUID=CAA5E0C6-1345-4502-A018-A75215B63C84,,
15,City Council/Successor Agency to the Redevelopment Agency/Public Financing Authority/Parking Authority Concurrent,8/21/2018,,4:00 PM,"Council Chamber, City Hall, 425 N. El Dorado Street, Stockton CAClosed Session 4:00 PM :: Regular Session 5:30 PM",Meeting details,Agenda,Not available,Not available,https://stockton.legistar.com/DepartmentDetail.aspx?ID=20742&GUID=D8BDACAC-407F-44E9-9768-9B33C389D164,,https://stockton.legistar.com/View.ashx?M=IC&ID=603861&GUID=BA196EF8-4D28-4B74-95F3-C57A7151CB0B,,,https://stockton.legistar.com/MeetingDetail.aspx?ID=603861&GUID=BA196EF8-4D28-4B74-95F3-C57A7151CB0B&Options=info&Search=,https://stockton.legistar.com/View.ashx?M=A&ID=603861&GUID=BA196EF8-4D28-4B74-95F3-C57A7151CB0B,,
16,Civil Service/Equal Employment Commission Concurrent,8/16/2018,,3:00 PM,"Council Chamber - City Hall, 425 N. El Dorado Street, Stockton CA",Meeting details,Agenda,Not available,Not available,https://stockton.legistar.com/DepartmentDetail.aspx?ID=22179&GUID=EFA0F03E-6C5C-481F-B556-EC259E22A8EE,,https://stockton.legistar.com/View.ashx?M=IC&ID=585460&GUID=43E710C0-E702-416F-BDD8-1FCE54AD8EB4,,,https://stockton.legistar.com/MeetingDetail.aspx?ID=585460&GUID=43E710C0-E702-416F-BDD8-1FCE54AD8EB4&Options=info&Search=,https://stockton.legistar.com/View.ashx?M=A&ID=585460&GUID=43E710C0-E702-416F-BDD8-1FCE54AD8EB4,,
17,Planning Commission,8/9/2018,,5:30 PM,"Council Chamber, City Hall, 425 N. El Dorado Street, Stockton CA** CANCELLED **",Meeting details,Cancelled Meeting Notice,Not available,Not available,https://stockton.legistar.com/DepartmentDetail.aspx?ID=22178&GUID=3798BB13-BAB3-44E6-BC29-0345411F84DC,,https://stockton.legistar.com/View.ashx?M=IC&ID=575467&GUID=CDE34061-577C-41F1-BD59-D55672A5A396,,,https://stockton.legistar.com/MeetingDetail.aspx?ID=575467&GUID=CDE34061-577C-41F1-BD59-D55672A5A396&Options=info&Search=,https://stockton.legistar.com/View.ashx?M=A&ID=575467&GUID=CDE34061-577C-41F1-BD59-D55672A5A396,,
18,Council Water Committee,8/9/2018,,4:00 PM,"Council Chamber - City Hall, 425 N. El Dorado Street, Stockton CA** CANCELLED **",Meeting details,Cancelled Meeting Notice,Not available,Not available,https://stockton.legistar.com/DepartmentDetail.aspx?ID=22177&GUID=DCAC49D0-9417-48E3-B697-3746F8FFA5F6,,https://stockton.legistar.com/View.ashx?M=IC&ID=595760&GUID=97D6A171-F3C5-4015-B38D-78B0A7E94D84,,,https://stockton.legistar.com/MeetingDetail.aspx?ID=595760&GUID=97D6A171-F3C5-4015-B38D-78B0A7E94D84&Options=info&Search=,https://stockton.legistar.com/View.ashx?M=A&ID=595760&GUID=97D6A171-F3C5-4015-B38D-78B0A7E94D84,,
19,Stockton Arts Commission,8/6/2018,,5:30 PM,"Oak Park Senior Center, 730 E. Fulton Street, Stockton CA",Meeting details,Meeting Agenda Packet,Not available,Not available,https://stockton.legistar.com/DepartmentDetail.aspx?ID=22183&GUID=B2B39B26-5801-49BA-ACE3-AD5BC8356DC1,,https://stockton.legistar.com/View.ashx?M=IC&ID=618497&GUID=F66C221B-7D56-4816-AD60-E3CD4D246DC8,,,https://stockton.legistar.com/MeetingDetail.aspx?ID=618497&GUID=F66C221B-7D56-4816-AD60-E3CD4D246DC8&Options=info&Search=,https://stockton.legistar.com/View.ashx?M=A&ID=618497&GUID=F66C221B-7D56-4816-AD60-E3CD4D246DC8,,
20,Planning Commission,8/2/2018,,5:30 PM,"Council Chamber, City Hall, 425 N. El Dorado Street, Stockton CA** SPECIAL **",Meeting details,Agenda,Not available,Not available,https://stockton.legistar.com/DepartmentDetail.aspx?ID=22178&GUID=3798BB13-BAB3-44E6-BC29-0345411F84DC,,https://stockton.legistar.com/View.ashx?M=IC&ID=615948&GUID=4150E3AD-4BBA-4CE9-BD93-B56D2AA63581,,,https://stockton.legistar.com/MeetingDetail.aspx?ID=615948&GUID=4150E3AD-4BBA-4CE9-BD93-B56D2AA63581&Options=info&Search=,https://stockton.legistar.com/View.ashx?M=A&ID=615948&GUID=4150E3AD-4BBA-4CE9-BD93-B56D2AA63581,,
21,Climate Action Plan Advisory Committee,8/2/2018,,2:00 PM,"Jack Silva Conference Room, CDD Permit Center, 345 N. El Dorado Street, Stockton, CA** SPECIAL **",Meeting details,Meeting Agenda Packet,Not available,Not available,https://stockton.legistar.com/DepartmentDetail.aspx?ID=22180&GUID=A2366D2D-A4E6-46CC-83ED-AF371578C6CC,,https://stockton.legistar.com/View.ashx?M=IC&ID=615947&GUID=28AA59FA-BF2A-4C42-80C6-365A5A8CC210,,,https://stockton.legistar.com/MeetingDetail.aspx?ID=615947&GUID=28AA59FA-BF2A-4C42-80C6-365A5A8CC210&Options=info&Search=,https://stockton.legistar.com/View.ashx?M=A&ID=615947&GUID=28AA59FA-BF2A-4C42-80C6-365A5A8CC210,,
22,Water Advisory Group,8/1/2018,,3:30 PM,"Council Chamber - City Hall, 425 N. El Dorado Street, Stockton CA** CANCELLED **",Meeting details,Cancelled Meeting Notice,Not available,Not available,https://stockton.legistar.com/DepartmentDetail.aspx?ID=22184&GUID=E615C06F-B727-44EF-BB05-F51BDAFF2002,,https://stockton.legistar.com/View.ashx?M=IC&ID=595748&GUID=E9DD0A7C-DD52-43A4-BB0B-3CADE68A50A9,,,https://stockton.legistar.com/MeetingDetail.aspx?ID=595748&GUID=E9DD0A7C-DD52-43A4-BB0B-3CADE68A50A9&Options=info&Search=,https://stockton.legistar.com/View.ashx?M=A&ID=595748&GUID=E9DD0A7C-DD52-43A4-BB0B-3CADE68A50A9,,
23,Planning Commission,7/26/2018,,5:30 PM,"Council Chamber, City Hall, 425 N. El Dorado Street, Stockton CA",Meeting details,Agenda,Not available,Not available,https://stockton.legistar.com/DepartmentDetail.aspx?ID=22178&GUID=3798BB13-BAB3-44E6-BC29-0345411F84DC,,https://stockton.legistar.com/View.ashx?M=IC&ID=575466&GUID=88478C25-84B1-4D62-9F89-E1A04BEBBC16,,,https://stockton.legistar.com/MeetingDetail.aspx?ID=575466&GUID=88478C25-84B1-4D62-9F89-E1A04BEBBC16&Options=info&Search=,https://stockton.legistar.com/View.ashx?M=A&ID=575466&GUID=88478C25-84B1-4D62-9F89-E1A04BEBBC16,,
24,Parks and Recreation Commission,7/23/2018,,5:30 PM,"Council Chamber - City Hall, 425 N. El Dorado Street, Stockton CA",Meeting details,Meeting Agenda Packet,Not available,Not available,https://stockton.legistar.com/DepartmentDetail.aspx?ID=23044&GUID=6C64FE09-2DD0-4B03-97BE-9C63532B420F,,https://stockton.legistar.com/View.ashx?M=IC&ID=608749&GUID=52FD10C2-EB00-4433-8767-1CFB5BBB772E,,,https://stockton.legistar.com/MeetingDetail.aspx?ID=608749&GUID=52FD10C2-EB00-4433-8767-1CFB5BBB772E&Options=info&Search=,https://stockton.legistar.com/View.ashx?M=A&ID=608749&GUID=52FD10C2-EB00-4433-8767-1CFB5BBB772E,,
