,Name Text,Meeting Date Text, Text,Meeting Time Text,Meeting Location Text,Meeting Details Text,Agenda Text,Minutes Text,Media Column Text,Name URL,Meeting Date URL, URL,Meeting Time URL,Meeting Location URL,Meeting Details URL,Agenda URL,Minutes URL,Media Column URL
54,City Council,1/29/2019,,3:30 PM,"Mountain View Public Library, First Floor Program Room, 585 Franklin Street, Mountain View, CA 94041Special Meeting - Team-Building",Meeting details,Agenda,Minutes,Not available,,,View.ashx?M=IC&ID=655791&GUID=E9FE0951-DC1D-4505-A936-1024A9DF2C1F,,,MeetingDetail.aspx?ID=655791&GUID=E9FE0951-DC1D-4505-A936-1024A9DF2C1F&Options=info&Search=,View.ashx?M=A&ID=655791&GUID=E9FE0951-DC1D-4505-A936-1024A9DF2C1F,View.ashx?M=M&ID=655791&GUID=E9FE0951-DC1D-4505-A936-1024A9DF2C1F,
55,Rental Housing Committee,1/28/2019,,7:00 PM,City Council Chambers - 500 Castro St,Meeting details,Agenda,Minutes,Media,,,View.ashx?M=IC&ID=675470&GUID=240CBDAB-86BD-4A24-B373-0FEF9E591624,,,MeetingDetail.aspx?ID=675470&GUID=240CBDAB-86BD-4A24-B373-0FEF9E591624&Options=info&Search=,View.ashx?M=A&ID=675470&GUID=240CBDAB-86BD-4A24-B373-0FEF9E591624,View.ashx?M=M&ID=675470&GUID=240CBDAB-86BD-4A24-B373-0FEF9E591624,#
56,Performing Arts Committee,1/23/2019,,6:15 PM,Atrium Conference RoomSpecial Meeting,Meeting details,Agenda,Minutes,Not available,,,View.ashx?M=IC&ID=647605&GUID=08587882-4885-45C9-9A06-55971E5D6179,,,MeetingDetail.aspx?ID=647605&GUID=08587882-4885-45C9-9A06-55971E5D6179&Options=info&Search=,View.ashx?M=A&ID=647605&GUID=08587882-4885-45C9-9A06-55971E5D6179,View.ashx?M=M&ID=647605&GUID=08587882-4885-45C9-9A06-55971E5D6179,
57,City Council,1/22/2019,,6:00 PM,"Plaza Conf. Rm. & Council Chambers, 500 Castro St., Mountain View, CA 94041JOINT MEETING OF THE CITY COUNCIL (REGULAR) AND SHORELINE REGIONAL PARK COMMUNITY (SPECIAL)",Meeting details,Agenda,Not available,Media,,,View.ashx?M=IC&ID=655828&GUID=105F75FB-6238-40D1-BD4B-BB4BA50E0420,,,MeetingDetail.aspx?ID=655828&GUID=105F75FB-6238-40D1-BD4B-BB4BA50E0420&Options=info&Search=,View.ashx?M=A&ID=655828&GUID=105F75FB-6238-40D1-BD4B-BB4BA50E0420,,#
58,City Council,1/22/2019,,6:00 PM,"Plaza Conf. Rm., 500 Castro St., Mountain View, CA 94041SPECIAL MEETING OF SHORELINE REGIONAL PARK COMMUNITY",Meeting details,Not available,Not available,Not available,,,View.ashx?M=IC&ID=680711&GUID=071EF24D-F4DA-4D87-8F20-919C445DFEA5,,,,,,
59,Environmental Planning Commission,1/16/2019,,7:00 PM,Council Chambers,Meeting details,Agenda,Minutes,Not available,,,View.ashx?M=IC&ID=658915&GUID=63A5C233-9B50-4779-B110-AAA443A2D3FE,,,MeetingDetail.aspx?ID=658915&GUID=63A5C233-9B50-4779-B110-AAA443A2D3FE&Options=info&Search=,View.ashx?M=A&ID=658915&GUID=63A5C233-9B50-4779-B110-AAA443A2D3FE,View.ashx?M=M&ID=658915&GUID=63A5C233-9B50-4779-B110-AAA443A2D3FE,
60,Performing Arts Committee,1/16/2019,,6:15 PM,MEETING CANCELLED,Meeting details,Not available,Not available,Not available,,,View.ashx?M=IC&ID=647604&GUID=8AE35B3D-64A9-41CA-A093-21E979AF37AD,,,MeetingDetail.aspx?ID=647604&GUID=8AE35B3D-64A9-41CA-A093-21E979AF37AD&Options=info&Search=,,,
61,City Council,1/15/2019,,6:30 PM,"Council Chambers, 500 Castro St., Mountain View, CA 94041SPECIAL MEETING OF SHORELINE REGIONAL PARK COMMUNITY",Meeting details,Not available,Minutes,Not available,,,View.ashx?M=IC&ID=678918&GUID=45FFDCF9-118F-47ED-9F19-0E056342F4C8,,,,,View.ashx?M=M&ID=678918&GUID=45FFDCF9-118F-47ED-9F19-0E056342F4C8,
62,City Council,1/15/2019,,4:00 PM,"Plaza Conf. Rm. & Council Chambers, 500 Castro St., Mountain View, CA 94041JOINT SPECIAL MEETING OF THE CITY COUNCIL AND SHORELINE REGIONAL PARK COMMUNITY",Meeting details,Agenda,Minutes,Media,,,View.ashx?M=IC&ID=655790&GUID=4830F146-BFDE-4033-91CB-39861B9FFD2F,,,MeetingDetail.aspx?ID=655790&GUID=4830F146-BFDE-4033-91CB-39861B9FFD2F&Options=info&Search=,View.ashx?M=A&ID=655790&GUID=4830F146-BFDE-4033-91CB-39861B9FFD2F,View.ashx?M=M&ID=655790&GUID=4830F146-BFDE-4033-91CB-39861B9FFD2F,#
63,Library Board,1/14/2019,,7:00 PM,Program Room - 2nd Floor,Meeting details,Not available,Minutes,Not available,,,View.ashx?M=IC&ID=672105&GUID=E78EC603-188F-4CA8-A1E7-B97D4172B719,,,MeetingDetail.aspx?ID=672105&GUID=E78EC603-188F-4CA8-A1E7-B97D4172B719&Options=info&Search=,,View.ashx?M=M&ID=672105&GUID=E78EC603-188F-4CA8-A1E7-B97D4172B719,
