,Name Text,Meeting Date Text, Text,Meeting Time Text,Meeting Location Text,Meeting Details Text,Agenda Text,Minutes Text,Audio/Video Text,Audio Text,Caption Notes Text,Name URL,Meeting Date URL, URL,Meeting Time URL,Meeting Location URL,Meeting Details URL,Agenda URL,Minutes URL,Audio/Video URL,Audio URL,Caption Notes URL
25,City Council,6/26/2018,,5:00 PM,"Council Chambers and West Conference Room, City Hall, 456 W. Olive Ave., Sunnyvale, CA 94086Special Meeting - Closed Session- 5 PM | Regular Meeting- 7 PM | Special Joint Meetings: City Council and the Redevelopment Successor Agency; City Council and the Sunnyvale Financing Authority- 7 PM",Meeting details,Agenda,Minutes,Audio/Video,AudioDownload,Caption Notes,,,View.ashx?M=IC&ID=573853&GUID=FF9A16ED-FE53-45BD-840C-7CC453F0EBFD,,,MeetingDetail.aspx?ID=573853&GUID=FF9A16ED-FE53-45BD-840C-7CC453F0EBFD&Options=info&Search=,View.ashx?M=A&ID=573853&GUID=FF9A16ED-FE53-45BD-840C-7CC453F0EBFD,View.ashx?M=M&ID=573853&GUID=FF9A16ED-FE53-45BD-840C-7CC453F0EBFD,#,#,#
26,Planning Commission,6/25/2018,,5:30 PM,"Council Chambers and West Conference Room, City Hall, 456 W. Olive Ave., Sunnyvale, CA 94086Special Meeting - Study Session - 5:30 PM | Special Meeting - Public Hearing 7 PM",Meeting details,Agenda,Minutes,Audio/Video,AudioDownload,Caption Notes,,,View.ashx?M=IC&ID=575382&GUID=9ED18644-7DDD-42CE-B4E5-6785D62ADA35,,,MeetingDetail.aspx?ID=575382&GUID=9ED18644-7DDD-42CE-B4E5-6785D62ADA35&Options=info&Search=,View.ashx?M=A&ID=575382&GUID=9ED18644-7DDD-42CE-B4E5-6785D62ADA35,View.ashx?M=M&ID=575382&GUID=9ED18644-7DDD-42CE-B4E5-6785D62ADA35,#,#,#
27,Planning Commission,6/25/2018,,5:30 PM,Special Meeting - Study Session (Audio Only)Study Session - 5:30 PM,Meeting details,Agenda,Not available,Audio/Video,AudioDownload,Caption Notes,,,View.ashx?M=IC&ID=612769&GUID=066641C4-85FD-4D85-BC88-40897D59DA44,,,MeetingDetail.aspx?ID=612769&GUID=066641C4-85FD-4D85-BC88-40897D59DA44&Options=info&Search=,View.ashx?M=A&ID=612769&GUID=066641C4-85FD-4D85-BC88-40897D59DA44,,#,#,#
28,Bicycle and Pedestrian Advisory Commission,6/21/2018,,6:30 PM,"Council Chambers, City Hall, 456 W. Olive Ave., Sunnyvale, CA 94086",Meeting details,Agenda,Minutes,Audio/Video,AudioDownload,Caption Notes,,,View.ashx?M=IC&ID=574312&GUID=B8724EAA-9EA2-4E6D-9C87-511EAE9611F7,,,MeetingDetail.aspx?ID=574312&GUID=B8724EAA-9EA2-4E6D-9C87-511EAE9611F7&Options=info&Search=,View.ashx?M=A&ID=574312&GUID=B8724EAA-9EA2-4E6D-9C87-511EAE9611F7,View.ashx?M=M&ID=574312&GUID=B8724EAA-9EA2-4E6D-9C87-511EAE9611F7,#,#,#
29,Arts Commission,6/20/2018,,7:00 PM,MEETING CANCELLED,Meeting details,Not available,Not available,Not available,Not available,Not available,,,View.ashx?M=IC&ID=586101&GUID=95768121-0AB3-45E5-8BA8-0F2B10856F42,,,,,,,,
30,Sustainability Commission,6/18/2018,,7:00 PM,"West Conference Room, City Hall, 456 W. Olive Ave., Sunnyvale, CA 94086",Meeting details,Agenda,Minutes,Audio/Video,AudioDownload,Caption Notes,,,View.ashx?M=IC&ID=575583&GUID=914BFB9B-F7D0-4CE9-A0D3-5FC891F4D5AD,,,MeetingDetail.aspx?ID=575583&GUID=914BFB9B-F7D0-4CE9-A0D3-5FC891F4D5AD&Options=info&Search=,View.ashx?M=A&ID=575583&GUID=914BFB9B-F7D0-4CE9-A0D3-5FC891F4D5AD,View.ashx?M=M&ID=575583&GUID=914BFB9B-F7D0-4CE9-A0D3-5FC891F4D5AD,#,#,#
31,Council Subcommittee to Discuss Issues of Mutual Interest with Santa Clara Unified School District,6/18/2018,,4:00 PM,"West Conference Room, City Hall, 456 W. Olive Avenue, Sunnyvale, CA 94086Special Meeting",Meeting details,Agenda,Not available,Not available,Not available,Not available,,,View.ashx?M=IC&ID=611138&GUID=3BD2FDB1-2AF5-4D00-BF61-1B3A9520AAEB,,,MeetingDetail.aspx?ID=611138&GUID=3BD2FDB1-2AF5-4D00-BF61-1B3A9520AAEB&Options=info&Search=,View.ashx?M=A&ID=611138&GUID=3BD2FDB1-2AF5-4D00-BF61-1B3A9520AAEB,,,,
32,Council Subcommittee to Discuss Issues of Mutual Interest with Fremont Union High School District,6/14/2018,,3:00 PM,"West Conference Room, City Hall, 456 W. Olive Avenue, Sunnyvale, CA 94086Special Meeting",Meeting details,Agenda,Not available,Not available,Not available,Not available,,,View.ashx?M=IC&ID=610802&GUID=0233CCE4-9229-4940-BF20-AA62E48DF798,,,MeetingDetail.aspx?ID=610802&GUID=0233CCE4-9229-4940-BF20-AA62E48DF798&Options=info&Search=,View.ashx?M=A&ID=610802&GUID=0233CCE4-9229-4940-BF20-AA62E48DF798,,,,
33,Council Subcommittee to Discuss Issues of Mutual Interest with Cupertino Union School District,6/14/2018,,10:00 AM,"Cupertino Union School District Office, Board Room, 1309 S. Mary Ave., Sunnyvale, CASpecial Meeting",Meeting details,Agenda,Not available,Not available,Not available,Not available,,,View.ashx?M=IC&ID=611091&GUID=49579D87-E203-4E81-B109-B27B65132E61,,,MeetingDetail.aspx?ID=611091&GUID=49579D87-E203-4E81-B109-B27B65132E61&Options=info&Search=,View.ashx?M=A&ID=611091&GUID=49579D87-E203-4E81-B109-B27B65132E61,,,,
34,Parks and Recreation Commission,6/13/2018,,7:00 PM,"Council Chambers, City Hall, 456 W. Olive Ave., Sunnyvale, CA 94086",Meeting details,Agenda,Minutes,Audio/Video,AudioDownload,Caption Notes,,,View.ashx?M=IC&ID=586032&GUID=FE5B3248-D8C7-46CB-9CB5-E67D0E32F472,,,MeetingDetail.aspx?ID=586032&GUID=FE5B3248-D8C7-46CB-9CB5-E67D0E32F472&Options=info&Search=,View.ashx?M=A&ID=586032&GUID=FE5B3248-D8C7-46CB-9CB5-E67D0E32F472,View.ashx?M=M&ID=586032&GUID=FE5B3248-D8C7-46CB-9CB5-E67D0E32F472,#,#,#
