,Name Text,Meeting Date Text, Text,Meeting Time Text,Meeting Location Text,Meeting Details Text,Agenda Text,Minutes Text,Video/Audio Text,Name URL,Meeting Date URL, URL,Meeting Time URL,Meeting Location URL,Meeting Details URL,Agenda URL,Minutes URL,Video/Audio URL
77,Board of Zoning Adjustments,1/3/2019,,7:00 PM,City Council ChambersMEETING CANCELLED,Meeting details,Agenda,Not available,Not available,,,https://sanleandro.legistar.com/View.ashx?M=IC&ID=669555&GUID=FD0C8CE6-C39A-4621-B32D-DB9FE4B8614E,,,https://sanleandro.legistar.com/MeetingDetail.aspx?ID=669555&GUID=FD0C8CE6-C39A-4621-B32D-DB9FE4B8614E&Options=info&Search=,https://sanleandro.legistar.com/View.ashx?M=A&ID=669555&GUID=FD0C8CE6-C39A-4621-B32D-DB9FE4B8614E,,
78,Recreation and Parks Commission,1/2/2019,,7:00 PM,"City Hall, Sister Cities GalleryMEETING CANCELLED",Meeting details,Not available,Not available,Not available,,,https://sanleandro.legistar.com/View.ashx?M=IC&ID=670101&GUID=1A7ADC33-5BE1-4512-BFEE-EEBF4CD5196C,,,https://sanleandro.legistar.com/MeetingDetail.aspx?ID=670101&GUID=1A7ADC33-5BE1-4512-BFEE-EEBF4CD5196C&Options=info&Search=,,,
79,Human Services Commission,12/26/2018,,7:00 PM,"City Hall, Sister Cities GalleryMEETING CANCELLED",Meeting details,Not available,Not available,Not available,,,https://sanleandro.legistar.com/View.ashx?M=IC&ID=658739&GUID=C5029A54-1DF2-4531-A8B5-65202392318D,,,https://sanleandro.legistar.com/MeetingDetail.aspx?ID=658739&GUID=C5029A54-1DF2-4531-A8B5-65202392318D&Options=info&Search=,,,
80,Arts Commission,12/26/2018,,6:30 PM,"Civic Center, South OfficesMEETING CANCELLED",Meeting details,Agenda,Not available,Not available,,,https://sanleandro.legistar.com/View.ashx?M=IC&ID=662903&GUID=7EF532E0-72D6-451E-9407-BD3C0C818D44,,,https://sanleandro.legistar.com/MeetingDetail.aspx?ID=662903&GUID=7EF532E0-72D6-451E-9407-BD3C0C818D44&Options=info&Search=,https://sanleandro.legistar.com/View.ashx?M=A&ID=662903&GUID=7EF532E0-72D6-451E-9407-BD3C0C818D44,,
81,Rules Committee,12/24/2018,,8:30 AM,"City Hall, Sister Cities GalleryMEETING CANCELLED",Meeting details,Not available,Not available,Not available,,,https://sanleandro.legistar.com/View.ashx?M=IC&ID=652016&GUID=4CFA1A0D-A258-42C2-A279-BB6B255C5BAF,,,,,,
82,Planning Commission,12/20/2018,,7:00 PM,City Council Chambers,Meeting details,Agenda,Minutes,Play,,,https://sanleandro.legistar.com/View.ashx?M=IC&ID=656786&GUID=6317C502-AEEE-4600-9313-69A11F69E63D,,,https://sanleandro.legistar.com/MeetingDetail.aspx?ID=656786&GUID=6317C502-AEEE-4600-9313-69A11F69E63D&Options=info&Search=,https://sanleandro.legistar.com/View.ashx?M=A&ID=656786&GUID=6317C502-AEEE-4600-9313-69A11F69E63D,https://sanleandro.legistar.com/View.ashx?M=M&ID=656786&GUID=6317C502-AEEE-4600-9313-69A11F69E63D,https://sanleandro.legistar.com/#
83,Senior Commission,12/20/2018,,10:00 AM,Senior Community Center 13909 E. 14th St.MEETING CANCELLED,Meeting details,Agenda,Not available,Not available,,,https://sanleandro.legistar.com/View.ashx?M=IC&ID=652715&GUID=A3EB9A2F-44A6-4690-A526-9D1EAF971596,,,https://sanleandro.legistar.com/MeetingDetail.aspx?ID=652715&GUID=A3EB9A2F-44A6-4690-A526-9D1EAF971596&Options=info&Search=,https://sanleandro.legistar.com/View.ashx?M=A&ID=652715&GUID=A3EB9A2F-44A6-4690-A526-9D1EAF971596,,
84,City Council,12/18/2018,,7:00 PM,City Council ChambersSpecial Meeting,Meeting details,Agenda,Not available,Play,,,https://sanleandro.legistar.com/View.ashx?M=IC&ID=657566&GUID=9DE739C3-AB09-481C-9010-00A676CA6EDD,,,https://sanleandro.legistar.com/MeetingDetail.aspx?ID=657566&GUID=9DE739C3-AB09-481C-9010-00A676CA6EDD&Options=info&Search=,https://sanleandro.legistar.com/View.ashx?M=A&ID=657566&GUID=9DE739C3-AB09-481C-9010-00A676CA6EDD,,https://sanleandro.legistar.com/#
85,Youth Advisory Commission,12/18/2018,,6:15 PM,Marina Community Center 15301 Wicks Blvd.,Meeting details,Agenda,Not available,Not available,,,https://sanleandro.legistar.com/View.ashx?M=IC&ID=659225&GUID=FA24CBAC-7ADD-4D6B-8F62-923A5ECDFA39,,,https://sanleandro.legistar.com/MeetingDetail.aspx?ID=659225&GUID=FA24CBAC-7ADD-4D6B-8F62-923A5ECDFA39&Options=info&Search=,https://sanleandro.legistar.com/View.ashx?M=A&ID=659225&GUID=FA24CBAC-7ADD-4D6B-8F62-923A5ECDFA39,,
86,City Council,12/17/2018,,7:00 PM,City Council Chambers,Meeting details,Agenda,Minutes,Play,,,https://sanleandro.legistar.com/View.ashx?M=IC&ID=643484&GUID=2B3A34FE-3C0F-4721-B422-A2CB39B85875,,,https://sanleandro.legistar.com/MeetingDetail.aspx?ID=643484&GUID=2B3A34FE-3C0F-4721-B422-A2CB39B85875&Options=info&Search=,https://sanleandro.legistar.com/View.ashx?M=A&ID=643484&GUID=2B3A34FE-3C0F-4721-B422-A2CB39B85875,https://sanleandro.legistar.com/View.ashx?M=M&ID=643484&GUID=2B3A34FE-3C0F-4721-B422-A2CB39B85875,https://sanleandro.legistar.com/#
87,Rent Review Board,12/11/2018,,7:00 PM,City Council ChambersMEETING CANCELLED,Meeting details,Agenda,Not available,Not available,,,https://sanleandro.legistar.com/View.ashx?M=IC&ID=656055&GUID=DC27E42B-F5D4-485B-945C-3C01D56EA443,,,https://sanleandro.legistar.com/MeetingDetail.aspx?ID=656055&GUID=DC27E42B-F5D4-485B-945C-3C01D56EA443&Options=info&Search=,https://sanleandro.legistar.com/View.ashx?M=A&ID=656055&GUID=DC27E42B-F5D4-485B-945C-3C01D56EA443,,
88,City Council,12/10/2018,,7:00 PM,City Council ChambersWork Session,Meeting details,Agenda,Not available,Play,,,https://sanleandro.legistar.com/View.ashx?M=IC&ID=643483&GUID=1961FF12-BB86-48FB-B8BB-D5B176DF548E,,,https://sanleandro.legistar.com/MeetingDetail.aspx?ID=643483&GUID=1961FF12-BB86-48FB-B8BB-D5B176DF548E&Options=info&Search=,https://sanleandro.legistar.com/View.ashx?M=A&ID=643483&GUID=1961FF12-BB86-48FB-B8BB-D5B176DF548E,,https://sanleandro.legistar.com/#
