subdomains,type,name,state,country
richmondva.legistar.com,municipality,Richmond,VA,United States
riversideca.legistar.com,municipality,Riverside,CA,United States
roch.legistar.com,municipality,Rochester Hills,MI,United States
romeoville.legistar.com,municipality,Romeoville,IL,United States
roswell.legistar.com,municipality,Roswell,GA,United States
roundrock.legistar.com,municipality,Round Rock,TX,United States
rutherfordcountync.legistar.com,county,Rutherford,NC,United States
sacramento.legistar.com,municipality,Sacramento,CA,United States
salem.legistar.com,municipality,Salem,OR,United States
salinas.legistar.com,municipality,Salinas,CA,United States
san-marcos-tx.legistar.com,municipality,San Marcos,TX,United States
sanantonio.legistar.com,municipality,San Antonio,TX,United States
sanbernardino.legistar.com,county,San Bernardino,CA,United States
sandyutah.legistar.com,municipality,Sandy,UT,United States
sanjose.legistar.com,municipality,San Jose,CA,United States
sanleandro.legistar.com,municipality,San Leandro,CA,United States
sanmateocounty.legistar.com,county,San Mateo,CA,United States
sanpablo.legistar.com,municipality,San Pablo,CA,United States
santa-rosa.legistar.com,municipality,Santa Rosa,CA,United States
santabarbara.legistar.com,county,Santa Barbara,CA,United States
santaclara.legistar.com,municipality,Santa Clara,CA,United States
sbcera.legistar.com,retirement,San Bernardino County Employees' Retirement Assoc.,CA,United States
scvwd.legistar.com,water,Santa Clara Valley Water District,CA,United States
seattle.legistar.com,municipality,Seattle,WA,United States
sedgwickcounty.legistar.com,county,Sedgewick,KS,United States
seminolecounty.legistar.com,county,Seminole,FL,United States
sfgov.legistar.com,county and municipal,San Francisco,CA,United States
sitka.legistar.com,borough,Sitka,AK,United States
sjcog.legistar.com,council of governments,San Joaquin Council of Governments,CA,United States
sjrs.legistar.com,retirement,The Retirement Services Department City of San Jose,CA,United States
slco.legistar.com,county,Salt Lake,UT,United States
smyrnacity.legistar.com,municipality,Smyrna,GA,United States
solano.legistar.com,county,Solano,CA,United States
sonoma-county.legistar.com,county,Sonoma,CA,United States
stalbert.ca.legistar.com,municipality,St. Albert,AB,Canada
stcharles.legistar.com,parish,St. Charles,LA,United States
stockton.legistar.com,municipality,Stockton,CA,United States
stpaul.legistar.com,municipality,St. Paul,MN,United States
sturgeoncounty.ca.legistar.com,county,Sturgeon,AB,Canada
sunnyvaleca.legistar.com,municipality,Sunnyvale,CA,United States
temeculaca.legistar.com,municipality,Temecula,CA,United States
tol.ca.legistar.com,municipality,Langley,BC,Canada
toledo.legistar.com,municipality,Toledo,OH,United States
townofyountville.legistar.com,municipality,Yountville,CA,United States
trophyclub.legistar.com,municipality,Trophy Club,TX,United States
trotwood-oh.legistar.com,municipality,Trotwood,OH,United States
