,city,committee,date,doc_type,url,local_path_pdf,local_path_txt,meeting_type,cancelled,month,time,doc_format,local_path_html
Biggs_2009-06-17_Special-City-Council-Meeting_Minutes,Biggs,Special City Council Meeting,2009-06-17 00:00:00,Minutes,https://www.biggs-ca.gov/documents/Government/Agendas--Minutes/2009-Agendas--Minutes/min-06-17-09-sp.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2009-06-17_Special-City-Council-Meeting_Minutes.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2009-06-17_Special-City-Council-Meeting_Minutes.txt,,,,6:00 pm,,
Biggs_2009-06-15_Regular-City-Council-Meeting_Agendas,Biggs,Regular City Council Meeting,2009-06-15 00:00:00,Agendas,https://www.biggs-ca.gov/documents/Government/Agendas--Minutes/2009-Agendas--Minutes/ag-06-15-09.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2009-06-15_Regular-City-Council-Meeting_Agendas.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2009-06-15_Regular-City-Council-Meeting_Agendas.txt,,,,6:00 pm,,
Biggs_2009-06-15_Regular-City-Council-Meeting_Minutes,Biggs,Regular City Council Meeting,2009-06-15 00:00:00,Minutes,https://www.biggs-ca.gov/documents/Government/Agendas--Minutes/2009-Agendas--Minutes/min-06-15-09.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2009-06-15_Regular-City-Council-Meeting_Minutes.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2009-06-15_Regular-City-Council-Meeting_Minutes.txt,,,,6:00 pm,,
Biggs_2009-06-03_Special-City-Council-Meeting_Agendas,Biggs,Special City Council Meeting,2009-06-03 00:00:00,Agendas,https://www.biggs-ca.gov/documents/Government/Agendas--Minutes/2009-Agendas--Minutes/ag-06-03-09-sp.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2009-06-03_Special-City-Council-Meeting_Agendas.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2009-06-03_Special-City-Council-Meeting_Agendas.txt,,,,6:00 pm,,
Biggs_2009-06-03_Special-City-Council-Meeting_Minutes,Biggs,Special City Council Meeting,2009-06-03 00:00:00,Minutes,https://www.biggs-ca.gov/documents/Government/Agendas--Minutes/2009-Agendas--Minutes/min-06-03-09-sp.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2009-06-03_Special-City-Council-Meeting_Minutes.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2009-06-03_Special-City-Council-Meeting_Minutes.txt,,,,6:00 pm,,
Biggs_2009-05-18_Regular-City-Council-Meeting_Agendas,Biggs,Regular City Council Meeting,2009-05-18 00:00:00,Agendas,https://www.biggs-ca.gov/documents/Government/Agendas--Minutes/2009-Agendas--Minutes/ag-05-18-09.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2009-05-18_Regular-City-Council-Meeting_Agendas.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2009-05-18_Regular-City-Council-Meeting_Agendas.txt,,,,6:00 pm,,
Biggs_2009-05-18_Regular-City-Council-Meeting_Minutes,Biggs,Regular City Council Meeting,2009-05-18 00:00:00,Minutes,https://www.biggs-ca.gov/documents/Government/Agendas--Minutes/2009-Agendas--Minutes/min-05-18-09.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2009-05-18_Regular-City-Council-Meeting_Minutes.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2009-05-18_Regular-City-Council-Meeting_Minutes.txt,,,,6:00 pm,,
Biggs_2009-05-11_Special-City-Council-Meeting_Agendas,Biggs,Special City Council Meeting,2009-05-11 00:00:00,Agendas,https://www.biggs-ca.gov/documents/Government/Agendas--Minutes/2009-Agendas--Minutes/ag-05-11-09-sp.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2009-05-11_Special-City-Council-Meeting_Agendas.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2009-05-11_Special-City-Council-Meeting_Agendas.txt,,,,6:00 pm,,
Biggs_2009-05-11_Special-City-Council-Meeting_Minutes,Biggs,Special City Council Meeting,2009-05-11 00:00:00,Minutes,https://www.biggs-ca.gov/documents/Government/Agendas--Minutes/2009-Agendas--Minutes/min-05-11-09-sp.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2009-05-11_Special-City-Council-Meeting_Minutes.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2009-05-11_Special-City-Council-Meeting_Minutes.txt,,,,6:00 pm,,
Biggs_2009-04-20_Regular-City-Council-Meeting_Agendas,Biggs,Regular City Council Meeting,2009-04-20 00:00:00,Agendas,https://www.biggs-ca.gov/documents/Government/Agendas--Minutes/2009-Agendas--Minutes/ag-04-20-09.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2009-04-20_Regular-City-Council-Meeting_Agendas.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2009-04-20_Regular-City-Council-Meeting_Agendas.txt,,,,6:00 pm,,
Biggs_2009-04-20_Regular-City-Council-Meeting_Minutes,Biggs,Regular City Council Meeting,2009-04-20 00:00:00,Minutes,https://www.biggs-ca.gov/documents/Government/Agendas--Minutes/2009-Agendas--Minutes/min-04-20-09.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2009-04-20_Regular-City-Council-Meeting_Minutes.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2009-04-20_Regular-City-Council-Meeting_Minutes.txt,,,,6:00 pm,,
Biggs_2009-04-15_Special-City-Council-Meeting_Agendas,Biggs,Special City Council Meeting,2009-04-15 00:00:00,Agendas,https://www.biggs-ca.gov/documents/Government/Agendas--Minutes/2009-Agendas--Minutes/ag-04-15-09-sp.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2009-04-15_Special-City-Council-Meeting_Agendas.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2009-04-15_Special-City-Council-Meeting_Agendas.txt,,,,3:30 pm,,
Biggs_2009-04-15_Special-City-Council-Meeting_Minutes,Biggs,Special City Council Meeting,2009-04-15 00:00:00,Minutes,https://www.biggs-ca.gov/documents/Government/Agendas--Minutes/2009-Agendas--Minutes/min-04-15-09-sp.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2009-04-15_Special-City-Council-Meeting_Minutes.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2009-04-15_Special-City-Council-Meeting_Minutes.txt,,,,3:30 pm,,
Biggs_2009-04-13_Special-Joint-Meeting/Study-Session-Cities-Of-Biggs-And-Gridley_Agendas,Biggs,Special Joint Meeting/Study Session Cities of Biggs and Gridley,2009-04-13 00:00:00,Agendas,https://www.biggs-ca.gov/documents/Government/Agendas--Minutes/2009-Agendas--Minutes/ag-04-13-09-sp.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2009-04-13_Special-Joint-Meeting/Study-Session-Cities-Of-Biggs-And-Gridley_Agendas.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2009-04-13_Special-Joint-Meeting/Study-Session-Cities-Of-Biggs-And-Gridley_Agendas.txt,,,,6:00 pm,,
Biggs_2009-04-13_Special-Joint-Meeting/Study-Session-Cities-Of-Biggs-And-Gridley_Minutes,Biggs,Special Joint Meeting/Study Session Cities of Biggs and Gridley,2009-04-13 00:00:00,Minutes,,,,,,,6:00 pm,,
Biggs_2009-03-23_Special-City-Council-Meeting_Agendas,Biggs,Special City Council Meeting,2009-03-23 00:00:00,Agendas,https://www.biggs-ca.gov/documents/Government/Agendas--Minutes/2009-Agendas--Minutes/ag-03-23-09-sp.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2009-03-23_Special-City-Council-Meeting_Agendas.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2009-03-23_Special-City-Council-Meeting_Agendas.txt,,,,6:00 pm,,
Biggs_2009-03-23_Special-City-Council-Meeting_Minutes,Biggs,Special City Council Meeting,2009-03-23 00:00:00,Minutes,https://www.biggs-ca.gov/documents/Government/Agendas--Minutes/2009-Agendas--Minutes/min-03-23-09-sp.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2009-03-23_Special-City-Council-Meeting_Minutes.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2009-03-23_Special-City-Council-Meeting_Minutes.txt,,,,6:00 pm,,
Biggs_2009-03-16_Regular-City-Council-Meeting_Agendas,Biggs,Regular City Council Meeting,2009-03-16 00:00:00,Agendas,https://www.biggs-ca.gov/documents/Government/Agendas--Minutes/2009-Agendas--Minutes/ag-03-16-09.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2009-03-16_Regular-City-Council-Meeting_Agendas.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2009-03-16_Regular-City-Council-Meeting_Agendas.txt,,,,6:00 pm,,
Biggs_2009-03-16_Regular-City-Council-Meeting_Minutes,Biggs,Regular City Council Meeting,2009-03-16 00:00:00,Minutes,https://www.biggs-ca.gov/documents/Government/Agendas--Minutes/2009-Agendas--Minutes/min-03-16-09.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2009-03-16_Regular-City-Council-Meeting_Minutes.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2009-03-16_Regular-City-Council-Meeting_Minutes.txt,,,,6:00 pm,,
Biggs_2009-03-02_Special-City-Council-Meeting_Agendas,Biggs,Special City Council Meeting,2009-03-02 00:00:00,Agendas,https://www.biggs-ca.gov/documents/Government/Agendas--Minutes/2009-Agendas--Minutes/ag-03-02-09-sp.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2009-03-02_Special-City-Council-Meeting_Agendas.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2009-03-02_Special-City-Council-Meeting_Agendas.txt,,,,6:00 pm,,
Biggs_2009-03-02_Special-City-Council-Meeting_Minutes,Biggs,Special City Council Meeting,2009-03-02 00:00:00,Minutes,https://www.biggs-ca.gov/documents/Government/Agendas--Minutes/2009-Agendas--Minutes/min-03-02-09-sp.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2009-03-02_Special-City-Council-Meeting_Minutes.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2009-03-02_Special-City-Council-Meeting_Minutes.txt,,,,6:00 pm,,
Biggs_2009-02-23_Regular-City-Council-Meeting_Agendas,Biggs,Regular City Council Meeting,2009-02-23 00:00:00,Agendas,https://www.biggs-ca.gov/documents/Government/Agendas--Minutes/2009-Agendas--Minutes/ag-02-23-09.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2009-02-23_Regular-City-Council-Meeting_Agendas.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2009-02-23_Regular-City-Council-Meeting_Agendas.txt,,,,6:00 pm,,
Biggs_2009-02-23_Regular-City-Council-Meeting_Minutes,Biggs,Regular City Council Meeting,2009-02-23 00:00:00,Minutes,https://www.biggs-ca.gov/documents/Government/Agendas--Minutes/2009-Agendas--Minutes/min-02-23-09.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2009-02-23_Regular-City-Council-Meeting_Minutes.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2009-02-23_Regular-City-Council-Meeting_Minutes.txt,,,,6:00 pm,,
Biggs_2009-02-20_Special-City-Council-Meeting_Agendas,Biggs,Special City Council Meeting,2009-02-20 00:00:00,Agendas,https://www.biggs-ca.gov/documents/Government/Agendas--Minutes/2009-Agendas--Minutes/ag-02-20-09-sp.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2009-02-20_Special-City-Council-Meeting_Agendas.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2009-02-20_Special-City-Council-Meeting_Agendas.txt,,,,2:00 pm,,
Biggs_2009-02-20_Special-City-Council-Meeting_Minutes,Biggs,Special City Council Meeting,2009-02-20 00:00:00,Minutes,https://www.biggs-ca.gov/documents/Government/Agendas--Minutes/2009-Agendas--Minutes/min-02-20-09-sp.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2009-02-20_Special-City-Council-Meeting_Minutes.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2009-02-20_Special-City-Council-Meeting_Minutes.txt,,,,2:00 pm,,
Biggs_2009-01-28_Special-City-Council-Meeting_Agendas,Biggs,Special City Council Meeting,2009-01-28 00:00:00,Agendas,https://www.biggs-ca.gov/documents/Government/Agendas--Minutes/2009-Agendas--Minutes/ag-01-28-09-sp.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2009-01-28_Special-City-Council-Meeting_Agendas.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2009-01-28_Special-City-Council-Meeting_Agendas.txt,,,,6:00 pm,,
Biggs_2009-01-28_Special-City-Council-Meeting_Minutes,Biggs,Special City Council Meeting,2009-01-28 00:00:00,Minutes,https://www.biggs-ca.gov/documents/Government/Agendas--Minutes/2009-Agendas--Minutes/min-01-28-09-sp.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2009-01-28_Special-City-Council-Meeting_Minutes.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2009-01-28_Special-City-Council-Meeting_Minutes.txt,,,,6:00 pm,,
Biggs_2009-01-26_Regular-City-Council-Meeting_Agendas,Biggs,Regular City Council Meeting,2009-01-26 00:00:00,Agendas,https://www.biggs-ca.gov/documents/Government/Agendas--Minutes/2009-Agendas--Minutes/ag-01-26-09.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2009-01-26_Regular-City-Council-Meeting_Agendas.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2009-01-26_Regular-City-Council-Meeting_Agendas.txt,,,,6:00 pm,,
Biggs_2009-01-26_Regular-City-Council-Meeting_Minutes,Biggs,Regular City Council Meeting,2009-01-26 00:00:00,Minutes,https://www.biggs-ca.gov/documents/Government/Agendas--Minutes/2009-Agendas--Minutes/min-01-26-09.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2009-01-26_Regular-City-Council-Meeting_Minutes.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2009-01-26_Regular-City-Council-Meeting_Minutes.txt,,,,6:00 pm,,
Biggs_2009-01-15_Special-City-Council-Meeting_Agendas,Biggs,Special City Council Meeting,2009-01-15 00:00:00,Agendas,https://www.biggs-ca.gov/documents/Government/Agendas--Minutes/2009-Agendas--Minutes/ag-01-15-09-sp.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2009-01-15_Special-City-Council-Meeting_Agendas.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2009-01-15_Special-City-Council-Meeting_Agendas.txt,,,,6:00 pm,,
Biggs_2009-01-15_Special-City-Council-Meeting_Minutes,Biggs,Special City Council Meeting,2009-01-15 00:00:00,Minutes,,,,,,,6:00 pm,,
Biggs_2009-01-07_Special-City-Council-Meeting_Agendas,Biggs,Special City Council Meeting,2009-01-07 00:00:00,Agendas,https://www.biggs-ca.gov/documents/Government/Agendas--Minutes/2009-Agendas--Minutes/ag-01-07-09-sp.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2009-01-07_Special-City-Council-Meeting_Agendas.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2009-01-07_Special-City-Council-Meeting_Agendas.txt,,,,6:00 pm,,
Biggs_2009-01-07_Special-City-Council-Meeting_Minutes,Biggs,Special City Council Meeting,2009-01-07 00:00:00,Minutes,https://www.biggs-ca.gov/documents/Government/Agendas--Minutes/2009-Agendas--Minutes/min-01-07-09-sp.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2009-01-07_Special-City-Council-Meeting_Minutes.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2009-01-07_Special-City-Council-Meeting_Minutes.txt,,,,6:00 pm,,
Biggs_2008-12-15_Regular-City-Council-Meeting_Agendas,Biggs,Regular City Council Meeting,2008-12-15 00:00:00,Agendas,https://www.biggs-ca.gov/documents/Government/Agendas--Minutes/2008-Agendas--Minutes/ag-12-15-08.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2008-12-15_Regular-City-Council-Meeting_Agendas.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2008-12-15_Regular-City-Council-Meeting_Agendas.txt,,,,6:00 pm,,
Biggs_2008-12-15_Regular-City-Council-Meeting_Minutes,Biggs,Regular City Council Meeting,2008-12-15 00:00:00,Minutes,https://www.biggs-ca.gov/documents/Government/Agendas--Minutes/2008-Agendas--Minutes/min-12-15-08.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2008-12-15_Regular-City-Council-Meeting_Minutes.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2008-12-15_Regular-City-Council-Meeting_Minutes.txt,,,,6:00 pm,,
Biggs_2008-12-12_Special-City-Council-Meeting_Agendas,Biggs,Special City Council Meeting,2008-12-12 00:00:00,Agendas,https://www.biggs-ca.gov/documents/Government/Agendas--Minutes/2008-Agendas--Minutes/ag-12-12-08-sp.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2008-12-12_Special-City-Council-Meeting_Agendas.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2008-12-12_Special-City-Council-Meeting_Agendas.txt,,,,3:00 pm,,
Biggs_2008-12-12_Special-City-Council-Meeting_Minutes,Biggs,Special City Council Meeting,2008-12-12 00:00:00,Minutes,https://www.biggs-ca.gov/documents/Government/Agendas--Minutes/2008-Agendas--Minutes/min-12-12-08-sp.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2008-12-12_Special-City-Council-Meeting_Minutes.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2008-12-12_Special-City-Council-Meeting_Minutes.txt,,,,3:00 pm,,
Biggs_2008-11-17_Regular-City-Council-Meeting_Agendas,Biggs,Regular City Council Meeting,2008-11-17 00:00:00,Agendas,https://www.biggs-ca.gov/documents/Government/Agendas--Minutes/2008-Agendas--Minutes/ag-11-17-08.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2008-11-17_Regular-City-Council-Meeting_Agendas.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2008-11-17_Regular-City-Council-Meeting_Agendas.txt,,,,6:00 pm,,
Biggs_2008-11-17_Regular-City-Council-Meeting_Minutes,Biggs,Regular City Council Meeting,2008-11-17 00:00:00,Minutes,https://www.biggs-ca.gov/documents/Government/Agendas--Minutes/2008-Agendas--Minutes/min-11-17-08.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2008-11-17_Regular-City-Council-Meeting_Minutes.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2008-11-17_Regular-City-Council-Meeting_Minutes.txt,,,,6:00 pm,,
Biggs_2008-10-20_Regular-City-Council-Meeting_Agendas,Biggs,Regular City Council Meeting,2008-10-20 00:00:00,Agendas,https://www.biggs-ca.gov/documents/Government/Agendas--Minutes/2008-Agendas--Minutes/ag-10-20-08.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2008-10-20_Regular-City-Council-Meeting_Agendas.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2008-10-20_Regular-City-Council-Meeting_Agendas.txt,,,,6:00 pm,,
Biggs_2008-10-20_Regular-City-Council-Meeting_Minutes,Biggs,Regular City Council Meeting,2008-10-20 00:00:00,Minutes,https://www.biggs-ca.gov/documents/Government/Agendas--Minutes/2008-Agendas--Minutes/min-10-20-08.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2008-10-20_Regular-City-Council-Meeting_Minutes.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2008-10-20_Regular-City-Council-Meeting_Minutes.txt,,,,6:00 pm,,
Biggs_2008-10-06_Special-City-Council-Meeting_Agendas,Biggs,Special City Council Meeting,2008-10-06 00:00:00,Agendas,https://www.biggs-ca.gov/documents/Government/Agendas--Minutes/2008-Agendas--Minutes/ag-10-06-08-sp-rev.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2008-10-06_Special-City-Council-Meeting_Agendas.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2008-10-06_Special-City-Council-Meeting_Agendas.txt,,,,6:00 pm,,
Biggs_2008-10-06_Special-City-Council-Meeting_Minutes,Biggs,Special City Council Meeting,2008-10-06 00:00:00,Minutes,https://www.biggs-ca.gov/documents/Government/Agendas--Minutes/2008-Agendas--Minutes/min-10-6-08-sp.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2008-10-06_Special-City-Council-Meeting_Minutes.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2008-10-06_Special-City-Council-Meeting_Minutes.txt,,,,6:00 pm,,
Biggs_2008-09-15_Regular-City-Council-Meeting_Agendas,Biggs,Regular City Council Meeting,2008-09-15 00:00:00,Agendas,https://www.biggs-ca.gov/documents/Government/Agendas--Minutes/2008-Agendas--Minutes/ag-09-15-08.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2008-09-15_Regular-City-Council-Meeting_Agendas.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2008-09-15_Regular-City-Council-Meeting_Agendas.txt,,,,6:00 pm,,
Biggs_2008-09-15_Regular-City-Council-Meeting_Minutes,Biggs,Regular City Council Meeting,2008-09-15 00:00:00,Minutes,https://www.biggs-ca.gov/documents/Government/Agendas--Minutes/2008-Agendas--Minutes/min-09-15-08.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2008-09-15_Regular-City-Council-Meeting_Minutes.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2008-09-15_Regular-City-Council-Meeting_Minutes.txt,,,,6:00 pm,,
Biggs_2008-08-18_Regular-City-Council-Meeting_Agendas,Biggs,Regular City Council Meeting,2008-08-18 00:00:00,Agendas,https://www.biggs-ca.gov/documents/Government/Agendas--Minutes/2008-Agendas--Minutes/ag-08-18-08-rev.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2008-08-18_Regular-City-Council-Meeting_Agendas.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2008-08-18_Regular-City-Council-Meeting_Agendas.txt,,,,6:00 pm,,
Biggs_2008-08-18_Regular-City-Council-Meeting_Minutes,Biggs,Regular City Council Meeting,2008-08-18 00:00:00,Minutes,https://www.biggs-ca.gov/documents/Government/Agendas--Minutes/2008-Agendas--Minutes/min-08-18-08.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2008-08-18_Regular-City-Council-Meeting_Minutes.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2008-08-18_Regular-City-Council-Meeting_Minutes.txt,,,,6:00 pm,,
Biggs_2008-08-13_Special-City-Council-Meeting_Agendas,Biggs,Special City Council Meeting,2008-08-13 00:00:00,Agendas,https://www.biggs-ca.gov/documents/Government/Agendas--Minutes/2008-Agendas--Minutes/ag-08-13-08-sp.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2008-08-13_Special-City-Council-Meeting_Agendas.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2008-08-13_Special-City-Council-Meeting_Agendas.txt,,,,5:30 pm,,
Biggs_2008-08-13_Special-City-Council-Meeting_Minutes,Biggs,Special City Council Meeting,2008-08-13 00:00:00,Minutes,https://www.biggs-ca.gov/documents/Government/Agendas--Minutes/2008-Agendas--Minutes/min-08-18-08.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2008-08-13_Special-City-Council-Meeting_Minutes.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2008-08-13_Special-City-Council-Meeting_Minutes.txt,,,,5:30 pm,,
Biggs_2008-07-25_Special-City-Council-Meeting_Agendas,Biggs,Special City Council Meeting,2008-07-25 00:00:00,Agendas,https://www.biggs-ca.gov/documents/Government/Agendas--Minutes/2008-Agendas--Minutes/ag-07-25-08-sp.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2008-07-25_Special-City-Council-Meeting_Agendas.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2008-07-25_Special-City-Council-Meeting_Agendas.txt,,,,3:00 pm,,
Biggs_2008-07-25_Special-City-Council-Meeting_Minutes,Biggs,Special City Council Meeting,2008-07-25 00:00:00,Minutes,https://www.biggs-ca.gov/documents/Government/Agendas--Minutes/2008-Agendas--Minutes/min-07-25-08-sp.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2008-07-25_Special-City-Council-Meeting_Minutes.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2008-07-25_Special-City-Council-Meeting_Minutes.txt,,,,3:00 pm,,
Biggs_2008-07-21_Regular-City-Council-Meeting_Agendas,Biggs,Regular City Council Meeting,2008-07-21 00:00:00,Agendas,https://www.biggs-ca.gov/documents/Government/Agendas--Minutes/2008-Agendas--Minutes/ag-07-21-08.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2008-07-21_Regular-City-Council-Meeting_Agendas.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2008-07-21_Regular-City-Council-Meeting_Agendas.txt,,,,6:00 pm,,
Biggs_2008-07-21_Regular-City-Council-Meeting_Minutes,Biggs,Regular City Council Meeting,2008-07-21 00:00:00,Minutes,https://www.biggs-ca.gov/documents/Government/Agendas--Minutes/2008-Agendas--Minutes/min-07-21-08.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2008-07-21_Regular-City-Council-Meeting_Minutes.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2008-07-21_Regular-City-Council-Meeting_Minutes.txt,,,,6:00 pm,,
Biggs_2008-07-01_Special-City-Council-Meeting_Agendas,Biggs,Special City Council Meeting,2008-07-01 00:00:00,Agendas,https://www.biggs-ca.gov/documents/Government/Agendas--Minutes/2008-Agendas--Minutes/min-07-01-08-sp.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2008-07-01_Special-City-Council-Meeting_Agendas.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2008-07-01_Special-City-Council-Meeting_Agendas.txt,,,,6:00 pm,,
