,city,committee,date,doc_type,url,local_path_pdf,local_path_txt,meeting_type,cancelled,month,time,doc_format,local_path_html
Gridley_2017-10-16_City-Council_Minutes,Gridley,City Council,2017-10-16 00:00:00,Minutes,http://gridley.ca.us/public/uploads/pdfs/10-16-17_minutes.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/gridley/Gridley_2017-10-16_City-Council_Minutes.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/gridley/Gridley_2017-10-16_City-Council_Minutes.txt,,,,,,
Biggs_2017-10-10_Regular-City-Council-Meeting_Agendas,Biggs,Regular City Council Meeting,2017-10-10 00:00:00,Agendas,https://www.biggs-ca.gov/documents/Government/Agendas--Minutes/2017-Agendas--Minutes/ag-10-10-17.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2017-10-10_Regular-City-Council-Meeting_Agendas.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2017-10-10_Regular-City-Council-Meeting_Agendas.txt,,,,6:30 pm,,
Biggs_2017-10-10_Regular-City-Council-Meeting_Minutes,Biggs,Regular City Council Meeting,2017-10-10 00:00:00,Minutes,https://www.biggs-ca.gov/documents/Government/Agendas--Minutes/2017-Agendas--Minutes/min-10-10-17.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2017-10-10_Regular-City-Council-Meeting_Minutes.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2017-10-10_Regular-City-Council-Meeting_Minutes.txt,,,,6:30 pm,,
Gridley_2017-10-09_Planning-Commission_Agenda,Gridley,Planning Commission,2017-10-09 00:00:00,Agenda,http://gridley.ca.us/public/uploads/pdfs/10-9-17_pc_agenda_packet.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/gridley/Gridley_2017-10-09_Planning-Commission_Agenda.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/gridley/Gridley_2017-10-09_Planning-Commission_Agenda.txt,,,,,,
Gridley_2017-10-09_Planning-Commission_Minutes,Gridley,Planning Commission,2017-10-09 00:00:00,Minutes,http://gridley.ca.us/public/uploads/pdfs/10-9-17_PC_Minutes_-_Drafts.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/gridley/Gridley_2017-10-09_Planning-Commission_Minutes.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/gridley/Gridley_2017-10-09_Planning-Commission_Minutes.txt,,,,,,
Gridley_2017-10-02_City-Council_Agenda,Gridley,City Council,2017-10-02 00:00:00,Agenda,http://gridley.ca.us/public/uploads/pdfs/10-2-17_agenda.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/gridley/Gridley_2017-10-02_City-Council_Agenda.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/gridley/Gridley_2017-10-02_City-Council_Agenda.txt,,,,,,
Gridley_2017-10-02_City-Council_Minutes,Gridley,City Council,2017-10-02 00:00:00,Minutes,http://gridley.ca.us/public/uploads/pdfs/10-2-17_minutes.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/gridley/Gridley_2017-10-02_City-Council_Minutes.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/gridley/Gridley_2017-10-02_City-Council_Minutes.txt,,,,,,
Biggs_2017-09-26_Special-City-Council-Meeting_Agendas,Biggs,Special City Council Meeting,2017-09-26 00:00:00,Agendas,https://www.biggs-ca.gov/documents/Government/Agendas--Minutes/2017-Agendas--Minutes/ag-09-26-17.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2017-09-26_Special-City-Council-Meeting_Agendas.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2017-09-26_Special-City-Council-Meeting_Agendas.txt,,,,6:30 pm,,
Biggs_2017-09-26_Special-City-Council-Meeting_Minutes,Biggs,Special City Council Meeting,2017-09-26 00:00:00,Minutes,https://www.biggs-ca.gov/documents/Government/Agendas--Minutes/2017-Agendas--Minutes/min-09-26-17.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2017-09-26_Special-City-Council-Meeting_Minutes.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2017-09-26_Special-City-Council-Meeting_Minutes.txt,,,,6:30 pm,,
Gridley_2017-09-18_City-Council_Agenda,Gridley,City Council,2017-09-18 00:00:00,Agenda,http://gridley.ca.us/public/uploads/pdfs/9-18-17_agenda.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/gridley/Gridley_2017-09-18_City-Council_Agenda.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/gridley/Gridley_2017-09-18_City-Council_Agenda.txt,,,,,,
Gridley_2017-09-18_City-Council_Minutes,Gridley,City Council,2017-09-18 00:00:00,Minutes,http://gridley.ca.us/public/uploads/pdfs/9-18-17_minutes.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/gridley/Gridley_2017-09-18_City-Council_Minutes.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/gridley/Gridley_2017-09-18_City-Council_Minutes.txt,,,,,,
Biggs_2017-09-12_Regular-City-Council-Meeting_Agendas,Biggs,Regular City Council Meeting,2017-09-12 00:00:00,Agendas,https://www.biggs-ca.gov/documents/Government/Agendas--Minutes/2017-Agendas--Minutes/ag-09-12-17.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2017-09-12_Regular-City-Council-Meeting_Agendas.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2017-09-12_Regular-City-Council-Meeting_Agendas.txt,,,,6:30 pm,,
Biggs_2017-09-12_Regular-City-Council-Meeting_Minutes,Biggs,Regular City Council Meeting,2017-09-12 00:00:00,Minutes,https://www.biggs-ca.gov/documents/Government/Agendas--Minutes/2017-Agendas--Minutes/min-09-12-17.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2017-09-12_Regular-City-Council-Meeting_Minutes.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2017-09-12_Regular-City-Council-Meeting_Minutes.txt,,,,6:30 pm,,
Biggs_2017-08-22_Special-City-Council-Meeting_Agendas,Biggs,Special City Council Meeting,2017-08-22 00:00:00,Agendas,https://www.biggs-ca.gov/documents/Government/Agendas--Minutes/2017-Agendas--Minutes/ag-08-22-18.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2017-08-22_Special-City-Council-Meeting_Agendas.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2017-08-22_Special-City-Council-Meeting_Agendas.txt,,,,6:30 pm,,
Biggs_2017-08-22_Special-City-Council-Meeting_Minutes,Biggs,Special City Council Meeting,2017-08-22 00:00:00,Minutes,https://www.biggs-ca.gov/documents/Government/Agendas--Minutes/2017-Agendas--Minutes/min-08-22-17.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2017-08-22_Special-City-Council-Meeting_Minutes.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2017-08-22_Special-City-Council-Meeting_Minutes.txt,,,,6:30 pm,,
Gridley_2017-08-21_City-Council_Agenda,Gridley,City Council,2017-08-21 00:00:00,Agenda,http://gridley.ca.us/public/uploads/pdfs/8-21-17_agenda.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/gridley/Gridley_2017-08-21_City-Council_Agenda.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/gridley/Gridley_2017-08-21_City-Council_Agenda.txt,,,,,,
Gridley_2017-08-21_City-Council_Minutes,Gridley,City Council,2017-08-21 00:00:00,Minutes,http://gridley.ca.us/public/uploads/pdfs/8-21-17_minutes.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/gridley/Gridley_2017-08-21_City-Council_Minutes.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/gridley/Gridley_2017-08-21_City-Council_Minutes.txt,,,,,,
Gridley_2017-08-14_Planning-Commission_Agenda,Gridley,Planning Commission,2017-08-14 00:00:00,Agenda,http://gridley.ca.us/public/uploads/pdfs/08142017_000001.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/gridley/Gridley_2017-08-14_Planning-Commission_Agenda.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/gridley/Gridley_2017-08-14_Planning-Commission_Agenda.txt,,,,,,
Gridley_2017-08-14_Planning-Commission_Minutes,Gridley,Planning Commission,2017-08-14 00:00:00,Minutes,http://gridley.ca.us/public/uploads/pdfs/8-14-17_PC_Minutes_-_Drafts.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/gridley/Gridley_2017-08-14_Planning-Commission_Minutes.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/gridley/Gridley_2017-08-14_Planning-Commission_Minutes.txt,,,,,,
Biggs_2017-08-08_Regular-City-Council-Meeting_Agendas,Biggs,Regular City Council Meeting,2017-08-08 00:00:00,Agendas,https://www.biggs-ca.gov/documents/Government/Agendas--Minutes/2017-Agendas--Minutes/ag-08-08-17.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2017-08-08_Regular-City-Council-Meeting_Agendas.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2017-08-08_Regular-City-Council-Meeting_Agendas.txt,,,,6:30 pm,,
